candidate_id,symbol_or_field,kind,defining_file,disposition,final_dispatch_reachable,secondary_dispatch_reachable,directly_called,address_taken,macro_referenced,active_state_read,active_state_write,active_state_address_taken,serialized_offset,serialized_size,import_dependency,export_dependency,reset_dependency,cpu_shut_dependency,diagnostic_stop_dependency,io_dependency,test_dependency,frozen_reference_dependency,proposed_deletion_group,evidence
file.i286c_mcr,i286c/i286c.mcr,source_or_evidence_file,i286c/i286c.mcr,shared_helper,no,no,no,no,no,no,no,no,-,-,no,no,no,no,no,no,no,no,-,native execution macros and conditional SEGSELECT
file.i286c_mn,i286c/i286c_mn.c,source_or_evidence_file,i286c/i286c_mn.c,shared_helper,no,no,no,no,no,no,no,no,-,-,no,no,no,no,no,no,no,no,-,active base handlers share overwritten protected candidates
file.statsave,statsave.c,source_or_evidence_file,statsave.c,active_native_required,no,no,no,no,no,no,no,no,-,-,no,no,no,no,no,no,no,no,-,"CPU286 preflight, load, and save callbacks"
file.test_rep0f,tests/upd9002/rep0f_diagnostic_stop.c,source_or_evidence_file,tests/upd9002/rep0f_diagnostic_stop.c,test_evidence_only,no,no,no,no,no,no,no,no,-,-,no,no,no,no,no,no,yes,no,-,522-case atomic diagnostic-stop evidence
file.test_state,tests/upd9002/state_boundary.c,source_or_evidence_file,tests/upd9002/state_boundary.c,test_evidence_only,no,no,no,no,no,no,no,no,-,-,no,no,no,no,no,no,yes,no,-,PE rejection and opaque-residue evidence
file.test_statsave,tests/upd9002/statsave_boundary.c,source_or_evidence_file,tests/upd9002/statsave_boundary.c,test_evidence_only,no,no,no,no,no,no,no,no,-,-,no,no,no,no,no,no,yes,no,-,whole-machine preflight atomicity evidence
file.tool_dispatch,tools/qa/upd9002_dispatch.py,source_or_evidence_file,tools/qa/upd9002_dispatch.py,test_evidence_only,no,no,no,no,no,no,no,no,-,-,no,no,no,no,no,no,yes,no,-,source graph and provenance parser
file.tool_transition,tools/qa/upd9002_rep0f_transition.py,source_or_evidence_file,tools/qa/upd9002_rep0f_transition.py,test_evidence_only,no,no,no,no,no,no,no,no,-,-,no,no,no,no,no,no,yes,no,-,immutable M42 to accepted M48 transition proof
file.upd9002_diagnostic,i286c/upd9002_diagnostic.c,source_or_evidence_file,i286c/upd9002_diagnostic.c,fail_closed_diagnostic_required,no,no,no,no,no,no,no,no,-,-,no,no,no,no,no,no,no,no,-,M48 production safety latch
file.upd9002_state,i286c/upd9002_state.c,source_or_evidence_file,i286c/upd9002_state.c,active_native_required,no,no,no,no,no,no,no,no,-,-,no,no,no,no,no,no,no,no,-,transactional state adapter and PE rejection
file.v30patch,i286c/v30patch.c,source_or_evidence_file,i286c/v30patch.c,active_native_required,no,no,no,no,no,no,no,no,-,-,no,no,no,no,no,no,no,no,-,"sole constructor, active step, and diagnostic root handlers"
lifecycle.cpuio_of0,cpuio_of0,function,io/cpuio.c,active_native_required,no,no,yes,no,no,yes,yes,no,-,-,no,no,yes,no,no,yes,yes,no,-,"reads CPU_MSW, records R/P mode, and requests reset"
lifecycle.i286c_reset,i286c_reset,function,i286c/i286c.c,active_native_required,no,no,yes,no,no,yes,yes,no,-,-,no,no,yes,no,no,no,yes,no,-,zeros runtime and establishes V30 FLAGS f002
lifecycle.i286c_shut,i286c_shut,function,i286c/i286c.c,cpu_shut_compatibility_required,no,no,yes,no,no,yes,yes,no,-,-,no,no,no,yes,no,no,yes,no,-,preserves 286-style init and FLAGS 0000
lifecycle.upd9002_state_export,upd9002_state_export,function,i286c/upd9002_state.c,active_native_required,no,no,yes,no,no,yes,yes,no,-,-,no,yes,no,no,no,no,yes,no,-,starts from opaque image and overlays runtime-owned ranges
lifecycle.upd9002_state_import,upd9002_state_import,function,i286c/upd9002_state.c,active_native_required,no,no,yes,no,no,yes,yes,no,-,-,yes,no,no,no,no,no,yes,no,-,constructs temporary runtime/image then commits atomically
lifecycle.upd9002_state_reset,upd9002_state_reset,function,i286c/upd9002_state.c,active_native_required,no,no,yes,no,no,yes,yes,no,-,-,no,no,yes,no,no,no,yes,no,-,canonicalizes the compatibility image on normal reset
lifecycle.upd9002_state_shut,upd9002_state_shut,function,i286c/upd9002_state.c,cpu_shut_compatibility_required,no,no,yes,no,no,yes,yes,no,-,-,no,no,no,yes,no,no,yes,no,-,zeros compatibility bytes below cpu_type for CPU_SHUT
lifecycle.upd9002_state_validate,upd9002_state_validate,function,i286c/upd9002_state.c,fail_closed_diagnostic_required,no,no,yes,no,no,yes,yes,no,-,-,yes,no,no,no,yes,no,yes,no,-,reads serialized MSW.PE and cpu_type before commit
macro.cpu_msw,CPU_MSW,macro_or_constant,i286c/cpucore.h,active_native_required,no,no,no,no,yes,yes,no,no,-,-,no,no,no,no,no,yes,no,no,-,active cpuio_of0 read
macro.i286_gdtr,I286_GDTR,macro_or_constant,i286c/i286c.h,shared_helper,no,no,no,no,yes,yes,no,no,-,-,no,no,no,no,no,no,no,no,-,selector and protected system handlers
macro.i286_ldtrc,I286_LDTRC,macro_or_constant,i286c/i286c.h,shared_helper,no,no,no,no,yes,yes,no,no,-,-,no,no,no,no,no,no,no,no,-,selector and protected system handlers
macro.i286_msw,I286_MSW,macro_or_constant,i286c/i286c.h,shared_helper,no,no,no,no,yes,yes,no,no,-,-,no,no,no,no,no,no,no,no,-,SEGSELECT and protected system handlers
macro.msw_pe,MSW_PE,macro_or_constant,i286c/cpucore.h,fail_closed_diagnostic_required,no,no,no,no,yes,yes,no,no,-,-,no,no,no,no,yes,no,no,no,-,state preflight mask and SEGSELECT predicate
native.interrupt.i286c_interrupt,i286c_interrupt,function,i286c/i286c.c,active_native_required,indirect-lifecycle,no,yes,no,no,no,no,no,-,-,no,no,no,no,no,no,no,no,-,active device interrupt entry uses the real-mode IVT
native.interrupt.i286c_intnum,i286c_intnum,function,i286c/i286c.c,active_native_required,indirect-lifecycle,no,yes,no,no,no,no,no,-,-,no,no,no,no,no,no,no,no,-,shared native exception helper uses the real-mode IVT
native.interrupt.v30_iret,v30_iret,function,i286c/v30patch.c,active_native_required,yes,no,yes,no,no,no,no,no,-,-,no,no,no,no,no,no,no,no,-,post-M48 final graph return path restores a real-mode CS base
overwritten.base.arpl.i286op,i286op[0x63] -> _arpl,constructor_base_entry,i286c/i286c_mn.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-ARPL,constructor patch replaces this address before the final graph is exposed
overwritten.base.arpl.i286op_repe,i286op_repe[0x63] -> _arpl,constructor_base_entry,i286c/i286c_mn.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-ARPL,constructor patch replaces this address before the final graph is exposed
overwritten.base.arpl.i286op_repne,i286op_repne[0x63] -> _arpl,constructor_base_entry,i286c/i286c_mn.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-ARPL,constructor patch replaces this address before the final graph is exposed
overwritten.base.mov_seg_ea.i286op,i286op[0x8e] -> _mov_seg_ea,constructor_base_entry,i286c/i286c_mn.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-MOV-SEG-EA,constructor patch replaces this address before the final graph is exposed
overwritten.base.mov_seg_ea.i286op_repe,i286op_repe[0x8e] -> _mov_seg_ea,constructor_base_entry,i286c/i286c_mn.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-MOV-SEG-EA,constructor patch replaces this address before the final graph is exposed
overwritten.base.mov_seg_ea.i286op_repne,i286op_repne[0x8e] -> _mov_seg_ea,constructor_base_entry,i286c/i286c_mn.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-MOV-SEG-EA,constructor patch replaces this address before the final graph is exposed
overwritten.function.arpl,_arpl,function,i286c/i286c_mn.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-ARPL,80286 ARPL-shaped handler always overwritten by v30_reserved
overwritten.function.mov_seg_ea,_mov_seg_ea,function,i286c/i286c_mn.c,unreachable_286_candidate,no,no,no,yes,no,legacy-only,legacy-only,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-MOV-SEG-EA,286 SEGSELECT segment-load handler always overwritten by v30mov_seg_ea
root.v30op,v30op,runtime_dispatch_root,i286c/v30patch.c,active_native_required,yes,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,yes,no,-,post-M48 final root has 256 immutable entries
root.v30op_repc,v30op_repc,runtime_dispatch_root,i286c/v30patch.c,active_native_required,yes,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,yes,no,-,post-M48 final root has 256 immutable entries
root.v30op_repe,v30op_repe,runtime_dispatch_root,i286c/v30patch.c,active_native_required,yes,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,yes,no,-,post-M48 final root has 256 immutable entries
root.v30op_repne,v30op_repne,runtime_dispatch_root,i286c/v30patch.c,active_native_required,yes,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,yes,no,-,post-M48 final root has 256 immutable entries
root.v30ope0xf6_table,v30ope0xf6_table,runtime_dispatch_root,i286c/v30patch.c,active_native_required,yes,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,yes,no,-,post-M48 final root has 8 immutable entries
root.v30ope0xf7_table,v30ope0xf7_table,runtime_dispatch_root,i286c/v30patch.c,active_native_required,yes,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,yes,no,-,post-M48 final root has 8 immutable entries
selector.caller.call_far,_call_far,function,i286c/i286c_mn.c,active_native_required,yes,no,indirect,no,yes,yes,no,no,-,-,no,no,no,no,no,no,no,no,-,post-M48 final graph reaches this real-mode segment/control-transfer handler
selector.caller.call_far_ea16,_call_far_ea16,function,i286c/i286c_fe.c,active_native_required,yes,no,indirect,no,yes,yes,no,no,-,-,no,no,no,no,no,no,no,no,-,post-M48 final graph reaches this real-mode segment/control-transfer handler
selector.caller.jmp_far,_jmp_far,function,i286c/i286c_mn.c,active_native_required,yes,no,indirect,no,yes,yes,no,no,-,-,no,no,no,no,no,no,no,no,-,post-M48 final graph reaches this real-mode segment/control-transfer handler
selector.caller.jmp_far_ea16,_jmp_far_ea16,function,i286c/i286c_fe.c,active_native_required,yes,no,indirect,no,yes,yes,no,no,-,-,no,no,no,no,no,no,no,no,-,post-M48 final graph reaches this real-mode segment/control-transfer handler
selector.caller.lds_r16_ea,_lds_r16_ea,function,i286c/i286c_mn.c,active_native_required,yes,no,indirect,no,yes,yes,no,no,-,-,no,no,no,no,no,no,no,no,-,post-M48 final graph reaches this real-mode segment/control-transfer handler
selector.caller.les_r16_ea,_les_r16_ea,function,i286c/i286c_mn.c,active_native_required,yes,no,indirect,no,yes,yes,no,no,-,-,no,no,no,no,no,no,no,no,-,post-M48 final graph reaches this real-mode segment/control-transfer handler
selector.caller.pop_ds,_pop_ds,function,i286c/i286c_mn.c,active_native_required,yes,no,indirect,no,yes,yes,no,no,-,-,no,no,no,no,no,no,no,no,-,post-M48 final graph reaches this real-mode segment/control-transfer handler
selector.caller.pop_es,_pop_es,function,i286c/i286c_mn.c,active_native_required,yes,no,indirect,no,yes,yes,no,no,-,-,no,no,no,no,no,no,no,no,-,post-M48 final graph reaches this real-mode segment/control-transfer handler
selector.caller.pop_ss,_pop_ss,function,i286c/i286c_mn.c,active_native_required,yes,no,indirect,no,yes,yes,no,no,-,-,no,no,no,no,no,no,no,no,-,post-M48 final graph reaches this real-mode segment/control-transfer handler
selector.caller.ret_far,_ret_far,function,i286c/i286c_mn.c,active_native_required,yes,no,indirect,no,yes,yes,no,no,-,-,no,no,no,no,no,no,no,no,-,post-M48 final graph reaches this real-mode segment/control-transfer handler
selector.caller.ret_far_data16,_ret_far_data16,function,i286c/i286c_mn.c,active_native_required,yes,no,indirect,no,yes,yes,no,no,-,-,no,no,no,no,no,no,no,no,-,post-M48 final graph reaches this real-mode segment/control-transfer handler
selector.function,i286c_selector,function,i286c/i286c_ea.c,shared_helper,no,no,yes,no,no,yes,no,yes,-,-,no,no,no,no,no,no,evidence-only,no,-,two protected direct callers plus SEGSELECT-expanded calls in active native handlers
selector.macro,SEGSELECT,macro,i286c/i286c.mcr,shared_helper,no,no,yes,no,yes,yes,no,no,-,-,no,no,no,no,no,no,no,no,-,reads MSW_PE and selects i286c_selector or real-mode selector<<4
state.compat.gdtr,Cpu286StateCompat.GDTR,serialized_field,i286c/cpucore.h,serialized_compatibility_only,no,no,no,no,no,no,no,no,64,6,yes,yes,yes,yes,no,no,yes,no,-,literal CPU286 byte position retained by Cpu286CompatImage
state.compat.idtr,Cpu286StateCompat.IDTR,serialized_field,i286c/cpucore.h,serialized_compatibility_only,no,no,no,no,no,no,no,no,72,6,yes,yes,yes,yes,no,no,yes,no,-,literal CPU286 byte position retained by Cpu286CompatImage
state.compat.ldtr,Cpu286StateCompat.LDTR,serialized_field,i286c/cpucore.h,serialized_compatibility_only,no,no,no,no,no,no,no,no,78,2,yes,yes,yes,yes,no,no,yes,no,-,literal CPU286 byte position retained by Cpu286CompatImage
state.compat.ldtrc,Cpu286StateCompat.LDTRC,serialized_field,i286c/cpucore.h,serialized_compatibility_only,no,no,no,no,no,no,no,no,80,6,yes,yes,yes,yes,no,no,yes,no,-,literal CPU286 byte position retained by Cpu286CompatImage
state.compat.msw,Cpu286StateCompat.MSW,serialized_field,i286c/cpucore.h,fail_closed_diagnostic_required,no,no,no,no,no,no,no,no,70,2,yes,yes,yes,yes,yes,no,yes,no,-,literal CPU286 byte position retained by Cpu286CompatImage
state.compat.tr,Cpu286StateCompat.TR,serialized_field,i286c/cpucore.h,serialized_compatibility_only,no,no,no,no,no,no,no,no,86,2,yes,yes,yes,yes,no,no,yes,no,-,literal CPU286 byte position retained by Cpu286CompatImage
state.compat.trc,Cpu286StateCompat.TRC,serialized_field,i286c/cpucore.h,serialized_compatibility_only,no,no,no,no,no,no,no,no,88,6,yes,yes,yes,yes,no,no,yes,no,-,literal CPU286 byte position retained by Cpu286CompatImage
state.runtime.gdtr,Upd9002RuntimeState.GDTR,runtime_field,i286c/cpucore.h,shared_helper,no,no,no,no,no,yes,yes,yes,64,6,yes,yes,yes,yes,no,no,yes,no,-,address-taken and read by i286c_selector
state.runtime.idtr,Upd9002RuntimeState.IDTR,runtime_field,i286c/cpucore.h,serialized_compatibility_only,no,no,no,no,no,yes,yes,yes,72,6,yes,yes,yes,yes,no,no,yes,no,-,no post-M48 instruction reader; adapter still imports and overlays this range
state.runtime.ldtr,Upd9002RuntimeState.LDTR,runtime_field,i286c/cpucore.h,serialized_compatibility_only,no,no,no,no,no,yes,yes,no,78,2,yes,yes,yes,yes,no,no,yes,no,-,no post-M48 instruction reader; adapter still imports and overlays this range
state.runtime.ldtrc,Upd9002RuntimeState.LDTRC,runtime_field,i286c/cpucore.h,shared_helper,no,no,no,no,no,yes,yes,yes,80,6,yes,yes,yes,yes,no,no,yes,no,-,address-taken and read by i286c_selector
state.runtime.msw,Upd9002RuntimeState.MSW,runtime_field,i286c/cpucore.h,shared_helper,no,no,no,no,no,yes,yes,no,70,2,yes,yes,yes,yes,yes,yes,yes,no,-,read by active SEGSELECT and CPU_MSW I/O; legacy writes are unreachable
state.runtime.tr,Upd9002RuntimeState.TR,runtime_field,i286c/cpucore.h,serialized_compatibility_only,no,no,no,no,no,yes,yes,no,86,2,yes,yes,yes,yes,no,no,yes,no,-,no post-M48 instruction reader; adapter still imports and overlays this range
state.runtime.trc,Upd9002RuntimeState.TRC,runtime_field,i286c/cpucore.h,serialized_compatibility_only,no,no,no,no,no,yes,yes,yes,88,6,yes,yes,yes,yes,no,no,yes,no,-,no post-M48 instruction reader; adapter still imports and overlays this range
type.i286dtr,I286DTR,type,i286c/cpucore.h,serialized_compatibility_only,no,no,no,no,no,no,no,no,-,6,yes,yes,yes,yes,no,no,no,no,-,six-byte descriptor-table/cache shape is embedded in both state contracts
