mode,opcode,subopcode,target,classification,basis
v30op,0x00,-,_add_ea_r8,implemented,final-root-target
v30op,0x01,-,_add_ea_r16,implemented,final-root-target
v30op,0x02,-,_add_r8_ea,implemented,final-root-target
v30op,0x03,-,_add_r16_ea,implemented,final-root-target
v30op,0x04,-,_add_al_data8,implemented,final-root-target
v30op,0x05,-,_add_ax_data16,implemented,final-root-target
v30op,0x06,-,_push_es,implemented,final-root-target
v30op,0x07,-,_pop_es,implemented,final-root-target
v30op,0x08,-,_or_ea_r8,implemented,final-root-target
v30op,0x09,-,_or_ea_r16,implemented,final-root-target
v30op,0x0a,-,_or_r8_ea,implemented,final-root-target
v30op,0x0b,-,_or_r16_ea,implemented,final-root-target
v30op,0x0c,-,_or_al_data8,implemented,final-root-target
v30op,0x0d,-,_or_ax_data16,implemented,final-root-target
v30op,0x0e,-,_push_cs,implemented,final-root-target
v30op,0x0f,-,v30_ope0x0f,implemented,final-root-target
v30op,0x10,-,_adc_ea_r8,implemented,final-root-target
v30op,0x11,-,_adc_ea_r16,implemented,final-root-target
v30op,0x12,-,_adc_r8_ea,implemented,final-root-target
v30op,0x13,-,_adc_r16_ea,implemented,final-root-target
v30op,0x14,-,_adc_al_data8,implemented,final-root-target
v30op,0x15,-,_adc_ax_data16,implemented,final-root-target
v30op,0x16,-,_push_ss,implemented,final-root-target
v30op,0x17,-,_pop_ss,implemented,final-root-target
v30op,0x18,-,_sbb_ea_r8,implemented,final-root-target
v30op,0x19,-,_sbb_ea_r16,implemented,final-root-target
v30op,0x1a,-,_sbb_r8_ea,implemented,final-root-target
v30op,0x1b,-,_sbb_r16_ea,implemented,final-root-target
v30op,0x1c,-,_sbb_al_data8,implemented,final-root-target
v30op,0x1d,-,_sbb_ax_data16,implemented,final-root-target
v30op,0x1e,-,_push_ds,implemented,final-root-target
v30op,0x1f,-,_pop_ds,implemented,final-root-target
v30op,0x20,-,_and_ea_r8,implemented,final-root-target
v30op,0x21,-,_and_ea_r16,implemented,final-root-target
v30op,0x22,-,_and_r8_ea,implemented,final-root-target
v30op,0x23,-,_and_r16_ea,implemented,final-root-target
v30op,0x24,-,_and_al_data8,implemented,final-root-target
v30op,0x25,-,_and_ax_data16,implemented,final-root-target
v30op,0x26,-,v30segprefix_es,implemented,final-root-target
v30op,0x27,-,_daa,implemented,final-root-target
v30op,0x28,-,_sub_ea_r8,implemented,final-root-target
v30op,0x29,-,_sub_ea_r16,implemented,final-root-target
v30op,0x2a,-,_sub_r8_ea,implemented,final-root-target
v30op,0x2b,-,_sub_r16_ea,implemented,final-root-target
v30op,0x2c,-,_sub_al_data8,implemented,final-root-target
v30op,0x2d,-,_sub_ax_data16,implemented,final-root-target
v30op,0x2e,-,v30segprefix_cs,implemented,final-root-target
v30op,0x2f,-,_das,implemented,final-root-target
v30op,0x30,-,_xor_ea_r8,implemented,final-root-target
v30op,0x31,-,_xor_ea_r16,implemented,final-root-target
v30op,0x32,-,_xor_r8_ea,implemented,final-root-target
v30op,0x33,-,_xor_r16_ea,implemented,final-root-target
v30op,0x34,-,_xor_al_data8,implemented,final-root-target
v30op,0x35,-,_xor_ax_data16,implemented,final-root-target
v30op,0x36,-,v30segprefix_ss,implemented,final-root-target
v30op,0x37,-,_aaa,implemented,final-root-target
v30op,0x38,-,_cmp_ea_r8,implemented,final-root-target
v30op,0x39,-,_cmp_ea_r16,implemented,final-root-target
v30op,0x3a,-,_cmp_r8_ea,implemented,final-root-target
v30op,0x3b,-,_cmp_r16_ea,implemented,final-root-target
v30op,0x3c,-,_cmp_al_data8,implemented,final-root-target
v30op,0x3d,-,_cmp_ax_data16,implemented,final-root-target
v30op,0x3e,-,v30segprefix_ds,implemented,final-root-target
v30op,0x3f,-,_aas,implemented,final-root-target
v30op,0x40,-,_inc_ax,implemented,final-root-target
v30op,0x41,-,_inc_cx,implemented,final-root-target
v30op,0x42,-,_inc_dx,implemented,final-root-target
v30op,0x43,-,_inc_bx,implemented,final-root-target
v30op,0x44,-,_inc_sp,implemented,final-root-target
v30op,0x45,-,_inc_bp,implemented,final-root-target
v30op,0x46,-,_inc_si,implemented,final-root-target
v30op,0x47,-,_inc_di,implemented,final-root-target
v30op,0x48,-,_dec_ax,implemented,final-root-target
v30op,0x49,-,_dec_cx,implemented,final-root-target
v30op,0x4a,-,_dec_dx,implemented,final-root-target
v30op,0x4b,-,_dec_bx,implemented,final-root-target
v30op,0x4c,-,_dec_sp,implemented,final-root-target
v30op,0x4d,-,_dec_bp,implemented,final-root-target
v30op,0x4e,-,_dec_si,implemented,final-root-target
v30op,0x4f,-,_dec_di,implemented,final-root-target
v30op,0x50,-,_push_ax,implemented,final-root-target
v30op,0x51,-,_push_cx,implemented,final-root-target
v30op,0x52,-,_push_dx,implemented,final-root-target
v30op,0x53,-,_push_bx,implemented,final-root-target
v30op,0x54,-,v30push_sp,implemented,final-root-target
v30op,0x55,-,_push_bp,implemented,final-root-target
v30op,0x56,-,_push_si,implemented,final-root-target
v30op,0x57,-,_push_di,implemented,final-root-target
v30op,0x58,-,_pop_ax,implemented,final-root-target
v30op,0x59,-,_pop_cx,implemented,final-root-target
v30op,0x5a,-,_pop_dx,implemented,final-root-target
v30op,0x5b,-,_pop_bx,implemented,final-root-target
v30op,0x5c,-,_pop_sp,implemented,final-root-target
v30op,0x5d,-,_pop_bp,implemented,final-root-target
v30op,0x5e,-,_pop_si,implemented,final-root-target
v30op,0x5f,-,_pop_di,implemented,final-root-target
v30op,0x60,-,_pusha,implemented,final-root-target
v30op,0x61,-,_popa,implemented,final-root-target
v30op,0x62,-,_bound,implemented,final-root-target
v30op,0x63,-,v30_reserved,known_target_gap,final-root-target
v30op,0x64,-,v30_reserved_0x0f,known_target_gap,final-root-target
v30op,0x65,-,v30_repc,implemented,final-root-target
v30op,0x66,-,v30_reserved,known_target_gap,final-root-target
v30op,0x67,-,v30_reserved,known_target_gap,final-root-target
v30op,0x68,-,_push_data16,implemented,final-root-target
v30op,0x69,-,_imul_reg_ea_data16,implemented,final-root-target
v30op,0x6a,-,_push_data8,implemented,final-root-target
v30op,0x6b,-,_imul_reg_ea_data8,implemented,final-root-target
v30op,0x6c,-,_insb,implemented,final-root-target
v30op,0x6d,-,_insw,implemented,final-root-target
v30op,0x6e,-,_outsb,implemented,final-root-target
v30op,0x6f,-,_outsw,implemented,final-root-target
v30op,0x70,-,_jo_short,implemented,final-root-target
v30op,0x71,-,_jno_short,implemented,final-root-target
v30op,0x72,-,_jc_short,implemented,final-root-target
v30op,0x73,-,_jnc_short,implemented,final-root-target
v30op,0x74,-,_jz_short,implemented,final-root-target
v30op,0x75,-,_jnz_short,implemented,final-root-target
v30op,0x76,-,_jna_short,implemented,final-root-target
v30op,0x77,-,_ja_short,implemented,final-root-target
v30op,0x78,-,_js_short,implemented,final-root-target
v30op,0x79,-,_jns_short,implemented,final-root-target
v30op,0x7a,-,_jp_short,implemented,final-root-target
v30op,0x7b,-,_jnp_short,implemented,final-root-target
v30op,0x7c,-,_jl_short,implemented,final-root-target
v30op,0x7d,-,_jnl_short,implemented,final-root-target
v30op,0x7e,-,_jle_short,implemented,final-root-target
v30op,0x7f,-,_jnle_short,implemented,final-root-target
v30op,0x80,-,_calc_ea8_i8,implemented,final-root-target
v30op,0x81,-,_calc_ea16_i16,implemented,final-root-target
v30op,0x82,-,_calc_ea8_i8,implemented,final-root-target
v30op,0x83,-,_calc_ea16_i8,implemented,final-root-target
v30op,0x84,-,_test_ea_r8,implemented,final-root-target
v30op,0x85,-,_test_ea_r16,implemented,final-root-target
v30op,0x86,-,_xchg_ea_r8,implemented,final-root-target
v30op,0x87,-,_xchg_ea_r16,implemented,final-root-target
v30op,0x88,-,_mov_ea_r8,implemented,final-root-target
v30op,0x89,-,_mov_ea_r16,implemented,final-root-target
v30op,0x8a,-,_mov_r8_ea,implemented,final-root-target
v30op,0x8b,-,_mov_r16_ea,implemented,final-root-target
v30op,0x8c,-,_mov_ea_seg,implemented,final-root-target
v30op,0x8d,-,_lea_r16_ea,implemented,final-root-target
v30op,0x8e,-,v30mov_seg_ea,implemented,final-root-target
v30op,0x8f,-,_pop_ea,implemented,final-root-target
v30op,0x90,-,_nop,implemented,final-root-target
v30op,0x91,-,_xchg_ax_cx,implemented,final-root-target
v30op,0x92,-,_xchg_ax_dx,implemented,final-root-target
v30op,0x93,-,_xchg_ax_bx,implemented,final-root-target
v30op,0x94,-,_xchg_ax_sp,implemented,final-root-target
v30op,0x95,-,_xchg_ax_bp,implemented,final-root-target
v30op,0x96,-,_xchg_ax_si,implemented,final-root-target
v30op,0x97,-,_xchg_ax_di,implemented,final-root-target
v30op,0x98,-,_cbw,implemented,final-root-target
v30op,0x99,-,_cwd,implemented,final-root-target
v30op,0x9a,-,_call_far,implemented,final-root-target
v30op,0x9b,-,_wait,implemented,final-root-target
v30op,0x9c,-,v30_pushf,implemented,final-root-target
v30op,0x9d,-,v30_popf,implemented,final-root-target
v30op,0x9e,-,_sahf,implemented,final-root-target
v30op,0x9f,-,_lahf,implemented,final-root-target
v30op,0xa0,-,_mov_al_m8,implemented,final-root-target
v30op,0xa1,-,_mov_ax_m16,implemented,final-root-target
v30op,0xa2,-,_mov_m8_al,implemented,final-root-target
v30op,0xa3,-,_mov_m16_ax,implemented,final-root-target
v30op,0xa4,-,_movsb,implemented,final-root-target
v30op,0xa5,-,_movsw,implemented,final-root-target
v30op,0xa6,-,_cmpsb,implemented,final-root-target
v30op,0xa7,-,_cmpsw,implemented,final-root-target
v30op,0xa8,-,_test_al_data8,implemented,final-root-target
v30op,0xa9,-,_test_ax_data16,implemented,final-root-target
v30op,0xaa,-,_stosb,implemented,final-root-target
v30op,0xab,-,_stosw,implemented,final-root-target
v30op,0xac,-,_lodsb,implemented,final-root-target
v30op,0xad,-,_lodsw,implemented,final-root-target
v30op,0xae,-,_scasb,implemented,final-root-target
v30op,0xaf,-,_scasw,implemented,final-root-target
v30op,0xb0,-,_mov_al_imm,implemented,final-root-target
v30op,0xb1,-,_mov_cl_imm,implemented,final-root-target
v30op,0xb2,-,_mov_dl_imm,implemented,final-root-target
v30op,0xb3,-,_mov_bl_imm,implemented,final-root-target
v30op,0xb4,-,_mov_ah_imm,implemented,final-root-target
v30op,0xb5,-,_mov_ch_imm,implemented,final-root-target
v30op,0xb6,-,_mov_dh_imm,implemented,final-root-target
v30op,0xb7,-,_mov_bh_imm,implemented,final-root-target
v30op,0xb8,-,_mov_ax_imm,implemented,final-root-target
v30op,0xb9,-,_mov_cx_imm,implemented,final-root-target
v30op,0xba,-,_mov_dx_imm,implemented,final-root-target
v30op,0xbb,-,_mov_bx_imm,implemented,final-root-target
v30op,0xbc,-,_mov_sp_imm,implemented,final-root-target
v30op,0xbd,-,_mov_bp_imm,implemented,final-root-target
v30op,0xbe,-,_mov_si_imm,implemented,final-root-target
v30op,0xbf,-,_mov_di_imm,implemented,final-root-target
v30op,0xc0,-,v30shift_ea8_data8,implemented,final-root-target
v30op,0xc1,-,v30shift_ea16_data8,implemented,final-root-target
v30op,0xc2,-,_ret_near_data16,implemented,final-root-target
v30op,0xc3,-,_ret_near,implemented,final-root-target
v30op,0xc4,-,_les_r16_ea,implemented,final-root-target
v30op,0xc5,-,_lds_r16_ea,implemented,final-root-target
v30op,0xc6,-,_mov_ea8_data8,implemented,final-root-target
v30op,0xc7,-,_mov_ea16_data16,implemented,final-root-target
v30op,0xc8,-,_enter,implemented,final-root-target
v30op,0xc9,-,fleave,implemented,final-root-target
v30op,0xca,-,_ret_far_data16,implemented,final-root-target
v30op,0xcb,-,_ret_far,implemented,final-root-target
v30op,0xcc,-,_int_03,implemented,final-root-target
v30op,0xcd,-,_int_data8,implemented,final-root-target
v30op,0xce,-,_into,implemented,final-root-target
v30op,0xcf,-,v30_iret,implemented,final-root-target
v30op,0xd0,-,_shift_ea8_1,implemented,final-root-target
v30op,0xd1,-,_shift_ea16_1,implemented,final-root-target
v30op,0xd2,-,v30shift_ea8_cl,implemented,final-root-target
v30op,0xd3,-,v30shift_ea16_cl,implemented,final-root-target
v30op,0xd4,-,v30_aam,implemented,final-root-target
v30op,0xd5,-,v30_aad,implemented,final-root-target
v30op,0xd6,-,v30_xlat,implemented,final-root-target
v30op,0xd7,-,_xlat,implemented,final-root-target
v30op,0xd8,-,_esc,implemented,final-root-target
v30op,0xd9,-,_esc,implemented,final-root-target
v30op,0xda,-,_esc,implemented,final-root-target
v30op,0xdb,-,_esc,implemented,final-root-target
v30op,0xdc,-,_esc,implemented,final-root-target
v30op,0xdd,-,_esc,implemented,final-root-target
v30op,0xde,-,_esc,implemented,final-root-target
v30op,0xdf,-,_esc,implemented,final-root-target
v30op,0xe0,-,_loopnz,implemented,final-root-target
v30op,0xe1,-,_loopz,implemented,final-root-target
v30op,0xe2,-,v30_loop,implemented,final-root-target
v30op,0xe3,-,_jcxz,implemented,final-root-target
v30op,0xe4,-,_in_al_data8,implemented,final-root-target
v30op,0xe5,-,_in_ax_data8,implemented,final-root-target
v30op,0xe6,-,_out_data8_al,implemented,final-root-target
v30op,0xe7,-,_out_data8_ax,implemented,final-root-target
v30op,0xe8,-,_call_near,implemented,final-root-target
v30op,0xe9,-,_jmp_near,implemented,final-root-target
v30op,0xea,-,_jmp_far,implemented,final-root-target
v30op,0xeb,-,_jmp_short,implemented,final-root-target
v30op,0xec,-,_in_al_dx,implemented,final-root-target
v30op,0xed,-,_in_ax_dx,implemented,final-root-target
v30op,0xee,-,_out_dx_al,implemented,final-root-target
v30op,0xef,-,_out_dx_ax,implemented,final-root-target
v30op,0xf0,-,_lock,implemented,final-root-target
v30op,0xf1,-,_lock,implemented,final-root-target
v30op,0xf2,-,v30_repne,implemented,final-root-target
v30op,0xf3,-,v30_repe,implemented,final-root-target
v30op,0xf4,-,_hlt,implemented,final-root-target
v30op,0xf5,-,_cmc,implemented,final-root-target
v30op,0xf6,-,v30_ope0xf6,implemented,final-root-target
v30op,0xf7,-,v30_ope0xf7,implemented,final-root-target
v30op,0xf8,-,_clc,implemented,final-root-target
v30op,0xf9,-,_stc,implemented,final-root-target
v30op,0xfa,-,_cli,implemented,final-root-target
v30op,0xfb,-,_sti,implemented,final-root-target
v30op,0xfc,-,_cld,implemented,final-root-target
v30op,0xfd,-,_std,implemented,final-root-target
v30op,0xfe,-,_ope0xfe,implemented,final-root-target
v30op,0xff,-,_ope0xff,implemented,final-root-target
v30op_0f,0x0f,0x00,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x01,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x02,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x03,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x04,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x05,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x06,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x07,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x08,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x09,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x0a,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x0b,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x0c,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x0d,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x0e,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x0f,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x10,v30_test1_ea8_cl,implemented,second-byte-resolved
v30op_0f,0x0f,0x11,v30_test1_ea16_cl,implemented,second-byte-resolved
v30op_0f,0x0f,0x12,v30_clr1_ea8_cl,implemented,second-byte-resolved
v30op_0f,0x0f,0x13,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x14,v30_set1_ea8_cl,implemented,second-byte-resolved
v30op_0f,0x0f,0x15,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x16,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x17,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x18,v30_test1_ea8_i3,implemented,second-byte-resolved
v30op_0f,0x0f,0x19,v30_test1_ea16_i4,implemented,second-byte-resolved
v30op_0f,0x0f,0x1a,v30_clr1_ea8_i3,implemented,second-byte-resolved
v30op_0f,0x0f,0x1b,v30_clr1_ea16_i4,implemented,second-byte-resolved
v30op_0f,0x0f,0x1c,v30_set1_ea8_i3,implemented,second-byte-resolved
v30op_0f,0x0f,0x1d,v30_set1_ea16_i4,implemented,second-byte-resolved
v30op_0f,0x0f,0x1e,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x1f,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x20,v30_add4s,implemented,second-byte-resolved
v30op_0f,0x0f,0x21,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x22,v30_sub4s,implemented,second-byte-resolved
v30op_0f,0x0f,0x23,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x24,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x25,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x26,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x27,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x28,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x29,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x2a,v30_ror4_ea8,implemented,second-byte-resolved
v30op_0f,0x0f,0x2b,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x2c,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x2d,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x2e,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x2f,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x30,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x31,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x32,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x33,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x34,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x35,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x36,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x37,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x38,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x39,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x3a,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x3b,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x3c,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x3d,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x3e,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x3f,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x40,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x41,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x42,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x43,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x44,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x45,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x46,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x47,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x48,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x49,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x4a,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x4b,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x4c,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x4d,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x4e,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x4f,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x50,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x51,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x52,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x53,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x54,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x55,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x56,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x57,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x58,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x59,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x5a,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x5b,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x5c,v30_reserved_0x0f,known_target_gap,second-byte-resolved
